Length,Sentence,Book,Ranking
99,The word “house” is not a linguistic fact if by it is meant merely the acoustic effect produced on the ear by its constituent consonants and vowels pronounced in a certain order; nor the motor processes and tactile feelings which make up the articulation of the word; nor the visual perception on the part of the hearer of this articulation; nor the visual perception of the word “house” on the written or printed page; nor the motor processes and tactile feelings which enter into the writing of the word; nor the memory of any or all of these experiences,2,1
 88,This can only mean that the sounds of speech are localized in the auditory tract of the brain or in some circumscribed portion of it precisely as other classes of sounds are localized; and that the motor processes involved in speech (such as the movements of the glottal cords in the larynx the movements of the tongue required to pronounce the vowels lip movements required to articulate certain consonants and numerous others) are localized in the motor tract precisely as are all other impulses to special motor activities,2,2
 71,The auditory centers alone may be excited; or the impulse to linguistic expression may be communicated as well to the motor nerves that communicate with the organs of speech but be inhibited either in the muscles of these organs or at some point in the motor nerves themselves; or possibly the auditory centers may be only slightly if at all affected the speech process manifesting itself directly in the motor sphere,2,3
 68,The auditory symbolism may be replaced point for point by a motor or by a visual symbolism (many people can read for instance in a purely visual sense that is without the intermediating link of an inner flow of the auditory images that correspond to the printed or written words) or by still other more subtle and elusive types of transfer that are not so easy to define,2,4
 67,Naturally the particular points or clusters of points of localization in the several tracts that refer to any element of language are connected in the brain by paths of association so that the outward or psycho-physical aspect of language is of a vast network of associated localizations in the brain and lower nervous tracts the auditory localizations being without doubt the most fundamental of all for speech,2,5
 64,It is even conceivable if not exactly likely that certain operators may have learned to think directly so far as the purely conscious part of the process of thought is concerned in terms of the tick-auditory symbolism or if they happen to have a strong natural bent toward motor symbolism in terms of the correlated tactile-motor symbolism developed in the sending of telegraphic messages,2,6
 63,As such they may be considered an integral portion of speech in the properly cultural sense of the term being no more identical with the instinctive cries themselves than such words as “cuckoo” and “kill-deer” are identical with the cries of the birds they denote or than Rossini’s treatment of a storm in the overture to “William Tell” is in fact a storm,2,7
 59,Were the symbol “house”— whether an auditory motor or visual experience or image— attached but to the single image of a particular house once seen it might perhaps by an indulgent criticism be termed an element of speech yet it is obvious at the outset that speech so constituted would have little or no value for purposes of communication,2,8
 58,Some of these systems are one-to-one equivalences of the normal system of speech; others like military gesture-symbolism or the gesture language of the Plains Indians of North America (understood by tribes of mutually unintelligible forms of speech) are imperfect transfers limiting themselves to the rendering of such grosser speech elements as are an imperative minimum under difficult circumstances,2,9
 57,In a very real sense the normal human being is predestined to walk not because his elders will assist him to learn the art but because his organism is prepared from birth or even from the moment of conception to take on all those expenditures of nervous energy and all those muscular adaptations that result in walking,2,10
